medallion,hack_license,vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,rate_code,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,credit_card
A398F5BEFFE316F9493C7722BE21CBC2,120E6322AD988B6CFAE6BD0E7EC18FE9,CMT,CSH,5.00,0.00,0.50,0.00,0.00,5.50,1,2013-01-16 09:03:35,2013-01-16 09:07:14,1,218,0.70,-73.964600,40.791908,-73.966347,40.799709,
A398F5BEFFE316F9493C7722BE21CBC2,120E6322AD988B6CFAE6BD0E7EC18FE9,CMT,CSH,5.00,0.00,0.50,0.00,0.00,6.5,1,2013-01-16 09:03:35,2013-01-16 09:07:14,1,218,0.70,-73.964600,40.791908,-73.966347,40.799709,
6817DAB7FE402A830E3A095CC9429AD8,A14E93069747B759208DDAED8C3E85E6,CMT,CSH,9.00,0.50,0.50,0.00,0.00,10.00,1,2013-01-11 20:15:50,2013-01-11 20:25:15,1,564,1.70,-74.005745,40.740246,-73.997620,40.761070,
72215E6A9164BBF86B72F8EB1C5E080F,8B5D6BCA331DF8CC404994A036D85BF9,CMT,CSH,11.00,0.00,0.50,0.00,0.00,11.50,1,2013-01-16 13:54:36.000,2013-01-16 14:11:14.000,1,997,1.50,-73.997719,40.724072,-74.006699,40.706802,
270D2F37B204405F3AA9E0C25533D830,4804910E6052BF32BD8B078B5F21FDDC,CMT,CSH,10.50,0.00,0.50,0.00,0.00,11.00,1,2013-01-16 11:44:20,2013-01-16 11:57:42,1,801,2.00,-73.989487,40.739307,-73.969872,40.762524,
4A7ECBD27554D95982D5A56D060D992E,91947AABC5295AB92706023FD45D91E0,CMT,CSH,8.00,0.00,0.50,0.00,0.00,8.50,1,2013-01-16 15:30:18,2013-01-16 15:40:16,1,597,1.20,-73.997910,40.735760,-73.986526,40.748371,
9FF1D14C4572FF3C9B3D2880385A49AA,713FB650D7F72E0FC8664181738AD54F,CMT,CSH,16.50,0.00,0.50,0.00,0.00,17.00,1,2013-01-16 08:48:07,2013-01-16 09:10:40,1,1352,3.10,-73.979149,40.750332,-73.950081,40.787243,
9FF1D14C4572FF3C9B3D2880385A49AA,713FB650D7F72E0FC8664181738AD54F,CMT,CSH,16.50,0.00,0.50,0.00,0.00,18.0,1,2013-01-16 08:48:07,2013-01-16 09:10:40,1,1352,3.10,-73.979149,40.750332,-73.950081,40.787243,
28DC9845C5DCFA751F0F77019B60A8AB,1CC3EF149D02CCF05FD13E7135699034,CMT,CSH,3.50,0.00,0.50,0.00,0.00,4.00,1,2013-01-16 12:41:13,2013-01-16 12:43:22,1,128,0.50,-73.967735,40.768173,-73.963226,40.774887,
C03136632769918087E1F034340FC6D5,0ECB922BDC3CBBE17ACDB595EF41DCCF,CMT,CSH,3.50,0.00,0.50,0.00,0.00,4.00,1,2013-01-16 08:38:20,2013-01-16 08:40:13,1,113,0.30,-73.960373,40.770004,-73.959679,40.773525,
